Title,rating,reviewCount,website,phoneNumber,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday
Metal Machine Tattoo Studio,,,https://www.mmtattoo.com/,+27 21 423 0688,49 Shortmarket St - Central - Cape Town - 8001 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 3p.m.,Closed
Hoodoo Tattoos,,,https://www.facebook.com/HoodooTattoos/,+27 21 486 9003,186 Lower Main Rd - Observatory - Cape Town - 7441 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed
Cape Electric Tattoo,,,capeelectrictattoo.com,+27 21 423 7646,11 Buitensingel St - Gardens - Cape Town - 8001 - South Africa,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,Closed
Cape Town Tattoos. Mr Lucky'S,,,http://www.capetowntattoo.com/,+27 84 588 6005,Fairweather house - 31 Francis Street - Zonnebloem The Basement - Zonnebloem - Cape Town - 7915 - South Africa,Closed,12 - 5:30p.m.,12 - 5:30p.m.,12 - 5:30p.m.,12 - 5:30p.m.,12 - 5:30p.m.,12 - 5:30p.m.
Tomb Tattoo,,,tombtattoo.co.za,+27 21 461 5218,Unit 16 gardens business village Wandel street - Gardens - Cape Town - 8001 - South Africa,Closed,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,Closed
Betrue Ink Tattoo'S And Body Piercing Studio,,,,+27 83 364 6483,african mall - 98 Long St - Cape Town City Centre - Cape Town - 8001 - South Africa,9:30a.m. - 7p.m.,9:30a.m. - 7p.m.,9:30a.m. - 7p.m.,9:30a.m. - 7p.m.,9:30a.m. - 7p.m.,9:30a.m. - 7p.m.,10a.m. - 4p.m.
More Than Hype - Tattoo Art Collective,,,,+27 72 606 1499,Model Villa Oranjezicht - 4 Hiddingh Ave - Gardens - Cape Town - 8001 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.
Sleight Of Hand Tattoos,,,https://sleightofhandtattoos.wixsite.com/soht,,48 Albert Rd - Woodstock - Cape Town - 7915 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.
Keepsake Tattoo Cape Town,,,,,Stoked Building - 175 Main Rd - Muizenberg - Cape Town - 7806 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,12a.m. - 4p.m.,Closed
Wildfire Tattoo And Body Piercing Studio,,,wildfireza.com,+27 21 422 0524,206 Long St - Cape Town City Centre - Cape Town - 8000 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 5p.m.,Closed
The Body Architects,,,thebodyarchitects.com,+27 82 226 4065,166 2nd Ave - Kenilworth - Cape Town - 7708 - South Africa,Closed,10:30a.m. - 6p.m.,10:30a.m. - 6p.m.,10:30a.m. - 6p.m.,10:30a.m. - 6p.m.,11a.m. - 5p.m.,Closed
