placeUrl	title	rating	reviewCount	category	attributes	address	plusCode	website	phoneNumber	wednesday	thursday	friday	saturday	sunday	monday	tuesday	currentStatus	imgUrl	isClaimed	latitude	longitude	query	timestamp	info					
https://www.google.com/maps/place/Metal+Machine+Tattoo+Studio/data=!4m6!3m5!1s0x1dcc67642a2caa4b:0xb22ae018b654aa0!8m2!3d-33.9216845!4d18.4191!16s%2Fg%2F1pzwbfmrp	Metal Machine Tattoo Studio			Tattoo shop		49 Shortmarket St, Central, Cape Town, 8001, South Africa	3CH9+8J Cape Town, South Africa	https://www.mmtattoo.com/	+27 21 423 0688	10a.m.–5p.m.	10a.m.–5p.m.	10a.m.–5p.m.	10a.m.–3p.m.	Closed	Closed	10a.m.–5p.m.	Open now	https://lh5.googleusercontent.com/p/AF1QipNoabYve_E66tgdETBx1X5VDh06ECD1igUTposr=w408-h408-k-no	TRUE	-33.921687500000004	18.41906250000001	https://www.google.com/maps/search/tattoo+cape+town/	2022-06-08T09:58:29.152Z						
https://www.google.com/maps/place/Hoodoo+Tattoos/data=!4m6!3m5!1s0x1dcc5d07005f2e49:0xafabe2810e9f91aa!8m2!3d-33.9320659!4d18.4662731!16s%2Fg%2F11c1xgdk99	Hoodoo Tattoos			Tattoo shop		186 Lower Main Rd, Observatory, Cape Town, 7441, South Africa	3F98+5G Cape Town, South Africa	https://www.facebook.com/HoodooTattoos/	+27 21 486 9003	10a.m.–6p.m.	10a.m.–6p.m.	10a.m.–6p.m.	10a.m.–6p.m.	Closed	Closed	10a.m.–6p.m.	Open now	https://lh5.googleusercontent.com/p/AF1QipNS1DjKocaJya6AgwC-VxW57uAUc87QY0BesCjN=w408-h408-k-no	TRUE	-33.93206250000001	18.466312499999972	https://www.google.com/maps/search/tattoo+cape+town/	2022-06-08T09:58:33.730Z						
https://www.google.com/maps/place/CAPE+ELECTRIC+TATTOO/data=!4m6!3m5!1s0x1dcc676fcf01b413:0x8869f1a01767af4e!8m2!3d-33.926802!4d18.4131249!16s%2Fg%2F1vntxyhk	CAPE ELECTRIC TATTOO			Tattoo shop	·  In-store shopping  ·  In-store pick-up	11 Buitensingel St, Gardens, Cape Town, 8001, South Africa	3CF7+76 Cape Town, South Africa	capeelectrictattoo.com	+27 21 423 7646	11a.m.–7p.m.	11a.m.–7p.m.	11a.m.–7p.m.	11a.m.–7p.m.	Closed	11a.m.–7p.m.	11a.m.–7p.m.	Open now	https://lh5.googleusercontent.com/p/AF1QipPY5Jpi4o6NnWJ_M__kKM--XiSIuuHnioUbBJdE=w408-h272-k-no	TRUE	-33.926812500000004	18.41306249999998	https://www.google.com/maps/search/tattoo+cape+town/	2022-06-08T09:58:37.637Z	LGBTQ+ friendly					
https://www.google.com/maps/place/Cape+Town+Tattoos.+Mr+Lucky's/data=!4m6!3m5!1s0x1dcc5e9d238aef85:0xf355539b64cf6ba4!8m2!3d-33.9283514!4d18.4379208!16s%2Fg%2F11c4805f5k	Cape Town Tattoos. Mr Lucky's			Tattoo shop		Fairweather house, 31 Francis Street, Zonnebloem The Basement, Zonnebloem, Cape Town, 7915, South Africa	3CCQ+M5 Cape Town, South Africa	http://www.capetowntattoo.com/	+27 84 588 6005	12–5:30p.m.	12–5:30p.m.	12–5:30p.m.	12–5:30p.m.	12–5:30p.m.	Closed	12–5:30p.m.	Closed	https://lh5.googleusercontent.com/p/AF1QipNuFTA9k1e4vHinnGCux8i9ldoKfIbb7f9OuBaF=w408-h374-k-no	TRUE	-33.928312500000004	18.43793749999999	https://www.google.com/maps/search/tattoo+cape+town/	2022-06-08T09:58:41.597Z						
https://www.google.com/maps/place/TOMB+TATTOO/data=!4m6!3m5!1s0x1dcc677a389ca23b:0xe6a5a1ce4862363a!8m2!3d-33.9311962!4d18.4176637!16s%2Fg%2F11clybw_k9	TOMB TATTOO			Tattoo shop		Unit 16 gardens business village Wandel street, Gardens, Cape Town, 8001, South Africa	3C99+G3 Cape Town, South Africa	tombtattoo.co.za	+27 21 461 5218	11a.m.–5p.m.	11a.m.–5p.m.	11a.m.–5p.m.	11a.m.–5p.m.	Closed	Closed	11a.m.–5p.m.	Open now	https://lh5.googleusercontent.com/p/AF1QipPrYH5ConQf-LlCvq2V4geXLkiwe9f_QjVVOQyh=w408-h544-k-no	TRUE	-33.93118750000001	18.417687500000014	https://www.google.com/maps/search/tattoo+cape+town/	2022-06-08T09:58:48.619Z						
https://www.google.com/maps/place/Betrue+Ink+Tattoo's+and+body+piercing+studio/data=!4m6!3m5!1s0x1dcc6763e1885eff:0x50eb1c80b82b5eea!8m2!3d-33.9226548!4d18.4187871!16s%2Fg%2F11dfjzc85p	Betrue Ink Tattoo's and body piercing studio			Tattoo and piercing shop		african mall, 98 Long St, Cape Town City Centre, Cape Town, 8001, South Africa	3CG9+WG Cape Town, South Africa		+27 83 364 6483	9:30a.m.–7p.m.	9:30a.m.–7p.m.	9:30a.m.–7p.m.	9:30a.m.–7p.m.	10a.m.–4p.m.	9:30a.m.–7p.m.	9:30a.m.–7p.m.	Open now	https://lh5.googleusercontent.com/p/AF1QipODCcaBteB8mBc6cQOU1ah3R2wL4dCohqZR-bIc=w426-h240-k-no	TRUE	-33.92268750000001	18.418812500000016	https://www.google.com/maps/search/tattoo+cape+town/	2022-06-08T09:58:52.213Z	Identifies as women-owned					
https://www.google.com/maps/place/More+than+Hype+-+Tattoo+Art+Collective/data=!4m6!3m5!1s0x1dcc6779c3fed0a5:0x83599b758affda48!8m2!3d-33.9341481!4d18.4167075!16s%2Fg%2F11b6swqylj	More than Hype - Tattoo Art Collective			Tattoo shop		Model Villa Oranjezicht, 4 Hiddingh Ave, Gardens, Cape Town, 8001, South Africa	3C88+8M Cape Town, South Africa		+27 72 606 1499	9a.m.–5p.m.	9a.m.–5p.m.	9a.m.–5p.m.	9a.m.–5p.m.	9a.m.–5p.m.	9a.m.–5p.m.	9a.m.–5p.m.	Open now	https://lh5.googleusercontent.com/p/AF1QipNmpFYpcsjvemDfDJkx1PqTmkjCRl27c0VfqYfa=w408-h272-k-no	TRUE	-33.93418750000001	18.41668749999998	https://www.google.com/maps/search/tattoo+cape+town/	2022-06-08T09:58:55.799Z						
https://www.google.com/maps/place/Sleight+Of+Hand+Tattoos/data=!4m6!3m5!1s0x1dcc5d9bdfcec285:0xa885c25467994cfb!8m2!3d-33.926484!4d18.4454309!16s%2Fg%2F11dx8p4mv7	Sleight Of Hand Tattoos			Tattoo shop		48 Albert Rd, Woodstock, Cape Town, 7915, South Africa	3CFW+C5 Cape Town, South Africa	https://sleightofhandtattoos.wixsite.com/soht		10a.m.–6p.m.	10a.m.–6p.m.	10a.m.–6p.m.	10a.m.–6p.m.	10a.m.–6p.m.	Closed	10a.m.–6p.m.	Open now	https://lh5.googleusercontent.com/p/AF1QipMIzQPc9MxAbPtnDRFWUL8mAiiZ4qfprX4sT7Jn=w408-h544-k-no	TRUE	-33.926437500000006	18.445437499999983	https://www.google.com/maps/search/tattoo+cape+town/	2022-06-08T09:58:59.912Z						
https://www.google.com/maps/place/Keepsake+Tattoo+Cape+Town/data=!4m6!3m5!1s0x1dcc5f7a32270fff:0xddadec749c38e7f2!8m2!3d-34.109063!4d18.467901!16s%2Fg%2F11c5r56jdv	Keepsake Tattoo Cape Town			Tattoo shop		Stoked Building, 175 Main Rd, Muizenberg, Cape Town, 7806, South Africa	VFR9+95 Lakeside, Cape Town, South Africa			10a.m.–5p.m.	10a.m.–5p.m.	10a.m.–5p.m.	12a.m.–4p.m.	Closed	Closed	10a.m.–5p.m.	Open now	https://lh5.googleusercontent.com/p/AF1QipMPuF7jjvCP4Hwq_GLwA0syUspiOygvfslhbc6n=w408-h306-k-no	TRUE	-34.1090625	18.46793749999999	https://www.google.com/maps/search/tattoo+cape+town/	2022-06-08T09:59:03.526Z						
https://www.google.com/maps/place/Wildfire+Tattoo+and+Body+Piercing+Studio/data=!4m6!3m5!1s0x1dcc67646c56bab5:0xe56c82ac16a38f69!8m2!3d-33.9256344!4d18.4155093!16s%2Fg%2F1tnfw7p0	Wildfire Tattoo and Body Piercing Studio			Body piercing shop	·  In-store shopping	206 Long St, Cape Town City Centre, Cape Town, 8000, South Africa	3CF8+P6 Cape Town, South Africa	wildfireza.com	+27 21 422 0524	10a.m.–6p.m.	10a.m.–6p.m.	10a.m.–6p.m.	10a.m.–5p.m.	Closed	10a.m.–6p.m.	10a.m.–6p.m.	Open now	https://lh5.googleusercontent.com/p/AF1QipOrtKkG-ZGnU3spicKsbtBZVVpiCOxSVFO68d7f=w408-h454-k-no	TRUE	-33.9256875	18.41556249999998	https://www.google.com/maps/search/tattoo+cape+town/	2022-06-08T09:59:08.048Z						
